name,Country,Home Location Type,Reading Score Before Help,Reading Score After Help,School Satisfaction Before Help,School Satisfaction After Help
Sara Dudley,South Korea,Town,78.27,100.0,3,3.71642371731551
Jerry Hudson,USA,City,80.66,100.0,3,3.58984658833978
Anthony Torres,South Korea,City,52.73,65.14,2,2.25642101937108
Ruth Torres,Denmark,City,66.46,80.83,3,3.56850895488074
Javier Rowe Jr.,USA,City,87.92,100.0,4,4.39510915655703
Jennifer Williams,USA,Town,85.08,100.0,3,3.88020255148246
David Zuniga,South Korea,Town,40.0,47.29,2,2.39319021675277
Mary Cherry,NZ,Town,62.39,71.07,1,1.36238681035717
Lisa Hester,NZ,Town,40.0,37.7,2,2.46222917799202
Tracy Watson,USA,Rural,67.76,88.76,2,2.42161836641339
Anna Smith,South Korea,City,56.7,71.99,3,2.55132648555116
Kim Serrano,Denmark,City,71.71,93.52,1,1.16745495833883
Mary Cantu,South Korea,City,40.0,46.9,3,2.84694167351735
Deanna Stewart,USA,Town,61.28,59.38,3,3.38698297771077
Sharon Fitzgerald,USA,City,47.6,60.39,3,4.03066456662692
Susan Hardy,NZ,Town,55.73,61.06,5,5.0
Tiffany Medina,South Korea,City,51.34,61.1,1,1.0
Amber Sanchez,USA,City,44.58,53.73,3,3.82619134286533
John Hendricks,South Korea,Town,58.93,70.14,3,3.64464984867916
Victor Downs,South Korea,City,68.88,66.03,1,1.18500311124872
Jacob Howard,South Korea,City,71.56,85.68,4,5.0
George Miller,NZ,Rural,40.0,51.01,2,2.14263404533928
Janice Jacobs,South Korea,City,89.69,100.0,3,4.03963996945279
Ricardo Mcguire,USA,City,55.95,71.69,3,4.25492212020609
Samuel Blanchard,NZ,City,40.0,52.55,4,3.80784117695805
Jillian Jones,USA,Town,40.0,56.71,3,3.23263387394935
Gabriel Klein,South Korea,Rural,40.0,50.47,1,1.14623026052177
Maria Farley,South Korea,City,81.41,100.0,4,3.56734895961077
Aaron Mason,South Korea,City,69.22,78.82,4,4.52666492168424
Amy Holmes,USA,Town,44.37,50.45,2,2.40165976003257
Julia Townsend,Denmark,Town,75.99,100.0,4,4.43285624226299
Suzanne Brown,USA,Town,93.13,90.7,3,3.39592022824068
Henry Scott,Denmark,Rural,40.0,41.65,3,3.36055490736361
Heather Hunt,USA,City,86.14,100.0,4,5.0
Monica Hunt,South Korea,Rural,71.97,77.8,3,3.09439937821534
Charles Moore,USA,Rural,66.71,87.34,2,2.5002341948487
Bobby Jones,South Korea,City,40.0,44.84,3,3.95639424027436
Adam Crawford,USA,Rural,45.0,59.12,4,4.81859095688992
Shawn Marshall,USA,City,70.45,82.52,3,3.42984917868508
Xavier Warren,USA,Rural,59.45,71.94,4,5.0
Catherine Schultz,South Korea,City,66.93,94.41,2,2.05669471363044
Tricia Rodriguez,Denmark,Rural,66.09,87.93,4,4.69470635340143
Richard Tate,USA,Town,53.54,63.12,2,2.48047897558566
Audrey Cisneros,USA,City,64.32,76.87,4,5.0
Tristan Richards,USA,City,63.19,67.37,4,5.0
Gregory Smith,South Korea,Rural,55.55,69.42,2,2.37547981583461
Desiree Powell,Denmark,City,50.29,57.48,3,3.67192187714528
Glenda Arellano,USA,City,48.24,54.29,4,4.95457465368334
James Zimmerman,NZ,Town,74.46,79.31,3,4.39871973524094
Amanda Lawrence,NZ,City,61.04,72.28,4,4.65561842622979
James Santiago,South Korea,Town,74.82,95.58,4,5.0
Matthew Carr,USA,City,74.58,89.47,4,4.99150911799775
David Anderson,USA,Town,40.0,48.84,3,3.3567741958828
Aaron Fuller,South Korea,City,90.74,83.72,2,2.44248236180939
Wendy Hall,Denmark,Rural,57.9,68.2,4,3.95727418552941
Patricia Shepherd,USA,Rural,53.55,72.92,4,4.30175648137061
Crystal Bowman,South Korea,Town,66.96,63.67,3,3.51974861214614
Pamela Parker,NZ,City,40.0,47.13,3,3.92533329209693
Wayne Cain,NZ,Town,57.17,65.35,3,4.07949478490261
Stuart Reed,Denmark,Town,59.46,77.8,1,1.26890023701924
Andrew Hall,South Korea,City,40.0,55.08,4,4.62794612464084
Thomas Davis,South Korea,City,40.71,42.1,2,2.06723382660517
Tonya Hebert,South Korea,City,65.22,84.15,3,3.39918966421179
Shelia Osborne,NZ,Rural,40.0,48.53,2,2.20958971531084
Jordan Turner,USA,City,67.77,72.11,5,5.0
Nicholas Moore,Denmark,City,67.51,92.94,3,4.12981526356889
Oscar Anderson,Denmark,City,67.09,83.99,3,2.96572007313029
Elizabeth Bruce,South Korea,City,53.37,80.36,2,2.39058264301461
Mariah Merritt,South Korea,Town,54.6,59.24,4,4.38383223645779
Maria Simpson,Denmark,Town,58.9,78.77,3,3.79313807550906
Pedro Hicks,USA,Town,55.38,72.53,3,3.66202205973436
Katie Kirk,South Korea,City,73.87,100.0,3,3.34297707639088
Elizabeth Huffman,South Korea,City,45.5,49.98,3,3.46924696019992
Stacy Baker,South Korea,Town,68.85,82.78,5,5.0
Christine Williams,USA,Town,64.79,77.74,4,5.0
Monica Kelly,South Korea,City,80.84,100.0,4,4.59415083439505
Tanya Rose,Denmark,Rural,40.0,52.18,2,1.85640643076059
Ashlee Golden,USA,Rural,61.11,81.29,3,3.74353539881211
Karen Mckinney,USA,City,51.54,58.38,1,1.31086191573027
Ashley Lozano,South Korea,Town,71.9,85.07,5,4.88956797453581
William Blackwell,USA,City,44.03,52.06,3,3.73262192060182
Patrick Roberts,South Korea,City,53.09,77.35,3,3.3903065329826
Carl Ortega,USA,City,40.0,55.5,2,2.45619825912961
Christopher Duke,Denmark,Rural,50.93,51.92,4,4.20709689785931
Regina Gonzalez MD,USA,Town,46.86,56.26,3,4.34316920682689
Amanda Young,USA,City,40.0,50.33,1,1.27944334053492
Laura Sullivan,NZ,Town,55.23,61.4,3,3.08625506265464
Michael Porter,South Korea,Rural,78.74,91.37,3,3.1308961827629
Katelyn Phillips,USA,Rural,99.35,100.0,5,5.0
Sophia Walker,Denmark,City,60.03,82.46,3,3.56194373060877
Robert Bishop,USA,City,89.66,100.0,4,5.0
Bryce Patel,Denmark,Rural,74.23,85.36,4,3.93976682028073
Julia Lang,NZ,City,88.97,100.0,3,4.07747980554001
Johnathan Anderson,NZ,City,69.97,91.04,3,3.70488649755047
Brittany Hernandez,USA,City,51.2,77.64,3,3.90890515318825
Brittany Chambers,USA,Town,44.5,59.5,4,4.77495660388008
Terry Short,NZ,Rural,71.43,78.13,3,3.53009951146998
Brooke Foley,USA,Town,86.34,93.44,1,1.27158071466036
Jonathan Gonzalez,South Korea,Rural,50.87,38.54,4,3.89359073451224
Nicholas Barnett,USA,City,61.35,79.69,1,1.14027261834891
Thomas Walker,Denmark,Town,83.54,98.57,5,5.0
Matthew Miller,USA,Town,78.58,77.59,3,3.65010554435954
Stephen King,USA,Town,40.0,47.97,1,1.23120608849062
Mr. Steven White,South Korea,City,51.58,70.81,3,3.49755083590431
Brandi Petersen,USA,Rural,87.19,100.0,2,2.46190774742241
Jennifer Owens,USA,Town,64.32,87.03,4,5.0
Bradley Simpson,NZ,Rural,68.76,83.32,3,3.50180353343718
Amanda Lara,South Korea,Town,59.51,80.54,2,2.70540152585644
Nicholas Davis,USA,City,77.12,82.41,4,5.0
Stephen Williams,South Korea,City,64.36,78.35,3,3.47620459741324
Katherine Bates,NZ,Rural,47.04,48.26,3,3.98373089860999
Morgan Jackson,USA,City,40.0,47.69,2,2.33144038058526
Caroline Ingram,USA,City,60.4,71.72,3,3.6865068802329
Jason Smith,South Korea,City,68.79,80.76,3,3.95941435861538
Alyssa Rich,USA,City,71.51,70.86,4,4.47841557136189
Kathryn Oconnor,South Korea,City,67.41,96.14,5,5.0
Megan Hernandez,USA,City,59.53,70.47,1,1.08522034109458
Daniel Melendez,USA,Town,87.07,100.0,3,3.49313224662555
Jill Calderon,NZ,Town,40.0,50.02,2,2.45698728702002
Tyler Spencer Jr.,USA,City,84.85,100.0,3,3.96660266052531
Robert Mcgee,USA,Rural,60.1,74.71,3,2.847604888489
Sarah Bruce,South Korea,City,92.59,94.84,2,2.55143943856741
Adrienne Williams,NZ,Rural,100.0,100.0,4,3.58132614381883
Carolyn Booker,USA,City,63.24,82.12,4,5.0
Ann Strickland,Denmark,City,40.0,44.86,4,5.0
Brian Cannon,USA,City,40.0,48.42,3,3.21783482040723
Joseph Martinez,USA,Rural,51.95,74.64,5,5.0
Jennifer Everett,USA,Rural,56.01,66.83,5,5.0
Daniel Lawson,USA,Rural,62.02,84.63,3,3.10820643938374
Kayla Romero,Denmark,Town,41.66,55.09,2,2.28669457878173
Harry Phillips,NZ,City,40.0,48.46,5,5.0
Dylan Anderson,USA,City,40.0,48.51,1,1.13136707723153
Joel Henderson,South Korea,City,48.6,47.5,3,3.47538256851558
Isaac Mahoney,USA,Rural,68.64,91.87,3,3.35635475716855
Holly Higgins,South Korea,Rural,56.04,71.93,4,5.0
Regina Cain,USA,Town,58.98,74.6,2,2.30132159238719
Maureen Herman,USA,City,40.0,45.68,3,3.51723640683781
Seth Obrien,USA,City,70.13,92.35,3,2.78361681057089
Gregory Spencer,Denmark,City,69.81,77.64,3,3.44893762325853
Kyle Gibson,USA,Rural,40.0,41.77,3,3.45926985883671
Keith Ross,USA,Rural,75.38,93.79,1,1.22054716082754
Ralph Robertson,USA,City,83.78,93.95,4,5.0
Deborah Daugherty,South Korea,Town,65.57,75.51,3,4.08395569784782
Margaret Mendez,NZ,Rural,75.89,90.57,1,1.2618403631283
Jessica Vincent,USA,Town,88.62,98.54,3,3.14687148104234
Jeremy Warren,USA,Town,69.19,89.76,2,2.29145946467588
Jacob Rogers,NZ,Rural,43.87,58.49,1,1.31597439257178
Michael Lawson,USA,Town,48.4,63.15,3,3.97054637990796
Wesley Little,USA,Town,68.01,89.06,2,2.44119292277892
Todd Larson,South Korea,Town,54.6,64.37,3,3.82589380555359
Michelle Moore,USA,Town,49.52,61.35,1,1.13495924225983
Hector Olsen,Denmark,Town,77.0,87.28,5,5.0
Jennifer Morales,South Korea,Town,74.31,92.23,3,3.79316670988944
Cynthia Jones,USA,Rural,40.0,46.71,4,4.62912996312149
Margaret Taylor,NZ,Rural,53.41,67.41,1,1.38832063824148
Juan Sanchez,USA,Rural,40.0,53.1,4,5.0
Alan Porter,USA,Town,55.7,71.14,3,3.81907112297676
Ronald Keller,NZ,Town,42.68,54.26,5,5.0
Steven Frye,USA,Town,67.46,70.29,4,4.64826620407155
Steven Malone,South Korea,Rural,96.71,100.0,3,4.05481915473611
Dr. Sharon Mcdonald,NZ,City,64.43,81.82,4,4.58400907583851
Kristen Smith,USA,City,100.0,100.0,4,4.79159691747084
Tina Davis,NZ,City,81.5,100.0,5,5.0
John Henderson,NZ,City,56.47,67.68,3,4.3135777661397
Angela Perry,NZ,Town,50.39,54.31,4,4.78768681192332
Margaret Wyatt,South Korea,Town,75.32,96.97,1,1.3092434631152
Joshua Rowland,Denmark,Rural,83.11,100.0,4,4.45395029713643
Joshua Estrada,USA,City,89.64,100.0,2,2.6740504894827
Jason Evans,USA,City,82.64,100.0,4,4.88339277289502
Candice Mcfarland,USA,Town,51.84,56.07,4,4.75460461829412
Austin Harper,USA,City,41.94,58.05,4,5.0
Dana Hughes,USA,Rural,58.39,79.31,3,3.00188692822055
Holly West,USA,Rural,81.1,100.0,3,3.32027942124204
Anthony Bird,South Korea,City,62.91,67.07,1,1.09137829862836
Peter Cook,South Korea,Rural,42.11,50.38,4,4.65963930867228
Joseph Ortega,NZ,Rural,40.0,51.44,3,3.4760841662272
Alexandra Wright,USA,City,62.16,76.02,3,3.11561213172188
Patrick Marquez,South Korea,City,58.15,71.67,2,2.57358298741328
Kristin Duke,NZ,City,57.86,71.39,3,3.83589343133814
Lindsay Green,USA,City,78.27,100.0,1,1.19057633778234
Shelly Brown,Denmark,Town,77.0,89.85,5,5.0
Adam Morrison,Denmark,Rural,86.59,95.77,3,3.47293571996722
Amy Alvarado,USA,City,53.54,66.99,2,2.74060931416695
Kayla Moreno,NZ,Rural,41.42,47.6,3,3.60939896263046
Brandi Anderson,NZ,City,60.06,79.38,4,5.0
David Wells,South Korea,City,47.24,41.52,4,4.50185993678096
Brian Lutz,South Korea,City,57.35,58.97,1,1.07966793337591
Melinda Parker,NZ,Rural,82.25,88.99,3,3.45490646777716
Meagan Ruiz,South Korea,City,51.55,62.68,3,3.71068831264637
Tammy Moore,South Korea,Town,77.54,97.2,4,4.07487521283496
Michael Gomez,USA,City,73.97,95.84,2,2.63911329541227
Roberta Stuart,USA,Town,53.06,58.85,2,2.1946721824091
Carmen James,USA,Town,58.15,80.01,5,5.0
Robert Hess,Denmark,City,59.13,57.5,3,3.04845907565171
Lori Hughes,USA,Rural,87.46,100.0,1,1.19773674738781
Steven Bauer,USA,City,40.35,49.62,5,5.0
Kevin Sampson,NZ,City,52.25,55.47,3,3.7426937328099
Danielle Wright,Denmark,Town,61.51,79.61,2,2.10673628191199
Hannah Dunn,Denmark,City,40.0,51.59,2,1.90493186427916
Christine Williams,NZ,City,60.72,68.54,3,3.94697025764197
Timothy Baker,Denmark,Town,82.36,100.0,4,4.92987008752706
Monica Cooke,South Korea,City,60.08,75.88,3,3.21548304350242
Frederick Bryant,USA,City,40.0,54.81,2,2.32205297805622
Sherri Jenkins,USA,Rural,62.42,62.98,3,4.17865373805063
Kathy Romero,NZ,Town,62.05,75.94,3,3.85911674618077
Michael Flowers,USA,City,50.11,64.3,3,3.37426443795438
Austin Hebert,USA,City,48.2,53.91,3,3.61655741144042
Noah Reese,USA,Rural,40.0,48.55,1,1.23028798345984
Joseph Lutz,USA,City,58.46,66.63,4,4.40135340291543
Jason Roberts,USA,City,53.06,70.78,4,5.0
Daniel Boyer,USA,Rural,65.84,80.0,2,2.51380654406582
David Holden,NZ,City,55.73,60.77,4,5.0
Martin Bridges,NZ,Town,62.24,68.78,1,1.22478506858757
Kathleen Schaefer,NZ,Town,64.66,81.18,4,4.73600761458473
Allison Brooks,Denmark,City,85.8,100.0,3,2.97382900504051
Angela Holloway,Denmark,City,83.12,100.0,4,5.0
Tiffany Young,NZ,Town,40.0,52.4,4,4.71140259363208
Courtney Scott,NZ,City,40.0,46.28,4,4.96208165849197
Michelle Bell,Denmark,Rural,60.75,64.12,4,4.89121763903492
Gabriela Garcia,South Korea,City,75.39,82.81,2,2.15526757014691
Tammy Taylor DDS,USA,Town,76.32,72.63,3,3.1485025640917
Mallory Marshall,Denmark,City,61.91,70.83,3,3.70798923892634
Morgan Little,Denmark,Rural,61.7,67.52,3,3.94577427420091
Cheryl Wilson,South Korea,City,59.75,75.71,4,4.61478490509052
Jennifer Stephens,NZ,Rural,40.0,46.74,4,4.78592994086135
Kimberly Murray,USA,City,93.7,99.73,3,3.88994649153237
Gabriel Rivers,USA,City,100.0,100.0,2,2.38198739635795
Megan Walter,USA,City,88.46,100.0,5,5.0
Nancy Kim,Denmark,City,53.68,67.0,3,3.71908851307806
Lori Romero,NZ,Town,73.02,87.81,3,3.56819090435394
Sarah Jones,USA,Town,42.88,51.13,1,1.2091457048263
Julie Briggs,South Korea,City,52.01,60.61,3,3.15293404301524
Joshua Rowland DVM,USA,Rural,70.03,93.69,5,5.0
Eric Martin,Denmark,City,40.0,52.33,3,3.73110675664975
Gregory Villa,USA,Rural,85.54,98.51,4,3.6328328143365
Joanne Miles,NZ,Rural,82.39,87.99,5,5.0
Daniel Daniel,NZ,City,45.12,55.49,4,5.0
Aaron Greene Jr.,Denmark,City,77.59,82.95,2,2.73520926017241
Hannah Maxwell,USA,Rural,73.92,84.32,3,3.51650754528274
Claudia Oconnor,South Korea,Town,78.21,100.0,5,5.0
Leon Clark,South Korea,City,52.21,58.66,4,5.0
Daniel Wyatt,NZ,City,58.43,71.11,2,2.47584765067028
Mathew Miles,USA,Town,65.95,77.8,4,4.86207610581257
Kelsey Hughes,USA,Rural,80.29,87.52,2,2.57654109630044
Deborah Lee,USA,Rural,80.89,83.55,4,4.91652882284103
Michelle Davis,USA,Rural,59.23,80.54,2,2.35033939859296
Ryan Fritz,South Korea,Rural,54.17,63.56,4,5.0
Eric Lawrence,South Korea,Rural,84.25,94.89,4,4.48690020590883
Valerie Wright MD,South Korea,City,58.75,69.18,3,3.78392876370217
Suzanne Mason,South Korea,Town,49.48,63.58,4,4.89875880161968
Nicole Dennis,Denmark,Rural,66.43,75.96,4,4.84515528220567
Donna Lane,USA,City,99.46,100.0,2,2.55933118064124
Jason Herrera,South Korea,Town,44.23,56.32,4,4.65372190421584
Kimberly Caldwell,USA,City,40.0,48.28,2,2.43994579095812
Donna Morales,South Korea,City,42.17,44.32,3,3.29961201406147
Casey Lutz,NZ,City,40.0,51.44,2,2.03273514154108
Karen Lewis,Denmark,Town,54.16,60.95,4,4.98531457862719
Keith Deleon MD,South Korea,City,50.94,71.86,1,1.22377654994744
Michael Lucas,USA,Rural,52.85,63.85,3,3.70313746814576
Alan Thompson,USA,City,56.75,59.41,4,3.90168749632865
Reginald Santos,USA,City,100.0,100.0,4,4.64168579211687
Michael Taylor,NZ,Town,58.15,64.74,5,5.0
Katherine Brown,USA,Rural,65.95,91.68,1,1.09270258359512
Reginald Mccoy,NZ,City,55.79,63.7,1,1.41319063318195
Cynthia Warner,South Korea,City,75.78,100.0,3,3.80374024606179
Kelly Mccoy,Denmark,Rural,76.68,90.87,2,2.24904050629763
Melissa Ward,USA,City,57.92,74.04,2,2.09606595809994
Anne Peterson,Denmark,City,40.0,45.55,4,4.02990810606019
Christina Cox,NZ,Town,64.96,76.74,1,1.06683637991054
Susan Miller,South Korea,Town,98.47,100.0,3,3.82642011239503
Joseph Thornton,South Korea,Town,83.35,100.0,4,4.86337846724911
Carl Sloan,NZ,Town,63.77,72.05,1,1.25450143998665
Christine Lynch,Denmark,City,54.83,65.0,4,5.0
Michelle Johnston,USA,Town,61.8,72.96,3,3.61111419676395
Jeffrey Braun,Denmark,City,40.0,43.59,4,4.61885192276267
Jennifer Rojas,USA,Town,48.31,57.44,5,5.0
Joe Moreno,NZ,City,63.89,72.53,5,4.91188571359627
Hannah Terry,USA,City,75.54,100.0,1,1.04542160373973
Christopher Brown,NZ,City,60.85,55.2,3,3.33824744521852
Caitlin Mitchell,USA,City,70.73,75.66,2,2.68811132052725
Emily Vang,South Korea,Town,58.91,67.3,5,5.0
Thomas Krueger,South Korea,City,54.18,59.93,3,3.70312441529755
Shannon Wheeler,USA,City,51.82,76.19,2,2.38264709977846
Briana Mills,USA,City,95.03,100.0,3,3.20118152643835
Jason Nolan,South Korea,Town,86.29,99.68,4,5.0
Alexander Davis,USA,Town,60.22,80.43,4,4.42030487916786
Alex Henderson,USA,Town,41.43,55.41,1,1.01738937488935
Diane Maldonado,South Korea,Town,40.0,44.99,3,3.63177416620559
Kristy Cunningham,USA,City,46.17,54.84,4,4.13450224393485
Roberta Howell,NZ,City,79.1,98.87,2,2.44875000354918
Kevin Kemp,NZ,Rural,68.06,85.62,4,4.522958731234
Alice Smith,USA,City,58.53,58.53,2,2.5013061035387
Christine Young,NZ,Rural,76.92,95.07,5,5.0
Michael Grant,South Korea,City,75.53,78.05,3,3.59288042866659
Eric Gonzalez,South Korea,Rural,58.5,70.94,4,5.0
Michelle Kaufman,USA,Rural,92.84,100.0,4,4.76317213121059
Mr. William Faulkner,USA,Town,75.07,87.23,3,4.01376382276031
Michaela Henry,USA,City,87.39,100.0,4,4.46470028091475
Christopher Gonzalez,South Korea,Rural,40.5,41.44,4,4.83460537570776
Jason Glass,NZ,Town,40.0,51.08,3,3.56090734886309
Erik Bell,South Korea,City,74.14,100.0,4,4.63452095736419
Jason Sherman,USA,Town,40.0,38.24,1,1.24802657316714
Kimberly Bartlett,USA,City,40.0,46.14,4,5.0
Eduardo Morgan,USA,City,62.33,73.99,3,4.20659470344554
Donald King,NZ,Rural,67.52,75.11,4,5.0
James Hawkins,USA,City,85.55,99.62,3,3.77907443849636
Craig Barnes,USA,City,100.0,100.0,4,4.60971623396799
Andrea Barnett,South Korea,City,59.34,79.03,5,5.0
Samantha Taylor,South Korea,Town,90.41,100.0,2,2.10986227309207
Christina Williams,NZ,City,60.69,72.5,3,3.47211667321119
Sierra Ramirez,USA,City,100.0,100.0,4,4.06495309961096
Brian Mccarty,South Korea,City,77.33,98.2,2,2.56620698607437
Kimberly Smith,South Korea,Rural,53.34,49.27,3,3.84836864007314
Michele Harrell,South Korea,City,93.59,93.86,4,5.0
Cody Mccann,Denmark,Town,45.5,59.24,4,4.52907714474054
Rachel Riggs,NZ,City,53.47,59.15,3,3.21130740700806
William Nguyen,USA,Town,43.08,51.07,1,1.18494875355688
Trevor Stanley,USA,City,40.0,58.01,2,2.35264496026996
Donald Vargas,Denmark,Town,65.3,77.07,3,3.57854441788815
Jonathan Miller,South Korea,Town,40.0,44.18,1,1.27375807353267
Renee Wilson,NZ,Town,40.0,43.48,3,3.55571642723127
Matthew Ali,Denmark,Town,50.13,61.9,4,4.71063788515607
Nicholas Harrison,USA,City,63.14,85.11,3,3.66444094564337
Darlene Noble,South Korea,City,66.79,59.61,1,1.25548004311123
Steven Norris,Denmark,City,40.0,46.67,4,4.75573070255292
Jennifer Rowland,South Korea,Town,88.71,100.0,2,2.5063309614285
Jesse Adams,Denmark,City,76.89,100.0,4,5.0
Patrick Mullins,NZ,City,68.34,88.94,1,1.20747357620631
Shane Cooper,USA,City,82.96,100.0,3,3.36375261298774
Andrew Brooks,USA,Rural,53.38,59.48,2,2.16165209403549
Timothy Rodgers,NZ,Rural,83.55,100.0,4,4.60265520804941
Sarah Nunez,USA,Town,84.62,100.0,4,4.61255278758073
Olivia Cruz,Denmark,City,40.0,43.33,2,2.2558975492713
Christine Logan,USA,Town,47.37,58.69,5,5.0
Krystal Macias,USA,City,56.65,61.69,2,2.66506392014654
Deborah Graham,Denmark,City,40.0,46.79,2,2.20579837218632
Aaron Jones,NZ,Town,76.51,95.78,3,3.59164682061085
Lisa Dixon,USA,City,71.66,68.11,3,3.96758519858283
Molly Bryant,USA,Town,42.12,44.99,2,2.52064584960351
Emily Wilcox,USA,Town,65.9,79.95,3,2.86959312390591
Sherri Moore,Denmark,City,40.0,50.35,2,2.66691399798865
Mark Mitchell,USA,City,82.3,90.83,4,4.96204843458225
Andrew Lee,NZ,City,96.9,96.82,2,2.72216993473934
James Jones,USA,City,64.69,79.24,3,3.33462217404224
Sharon Austin,USA,City,53.35,57.59,4,4.87315231416641
Miranda Gibson,NZ,City,47.32,47.68,4,4.81735144782859
Stephanie Young,Denmark,Town,100.0,99.6,2,2.38130330798605
Vanessa Pittman,Denmark,Rural,85.05,100.0,4,4.80204035901259
Alyssa Harrell,South Korea,Rural,55.23,75.03,2,2.46290653651321
Russell Bowers,USA,City,63.5,73.64,2,2.23311459501426
Seth Parsons,USA,City,48.64,60.81,3,3.39030338149926
Karen Lucas,NZ,City,71.1,75.53,2,2.41576277886192
Jennifer Mccormick,USA,City,40.0,47.1,2,2.77813964240948
Douglas Norton,Denmark,Town,64.31,74.67,4,5.0
Nicholas Frazier,USA,City,62.2,69.28,3,3.67545471324344
Benjamin Tyler,USA,City,43.31,55.16,5,4.99562182369453
David Grant,Denmark,City,61.03,71.6,4,4.92378954321083
Carla Johnson,South Korea,Town,58.09,80.57,1,1.15707556235674
William Allen,South Korea,Rural,78.18,84.71,3,3.67300502423361
Dalton Joseph,Denmark,City,57.86,71.19,2,2.62440067185441
Scott Martin,South Korea,City,100.0,100.0,3,3.23238985234187
Sharon Clayton,NZ,Rural,45.63,48.12,2,2.50556349007766
Craig Evans,USA,Town,100.0,100.0,5,5.0
Michelle Richards,NZ,Town,40.98,51.16,2,2.30917109828946
Mr. Alex Nielsen,USA,City,78.94,93.67,3,3.9483641837071
Peter Garcia,NZ,Rural,66.89,73.32,4,4.79198174824393
Christopher Hammond,South Korea,City,96.84,100.0,2,2.55871231799977
Isaac Guerrero,NZ,Rural,40.0,46.9,5,5.0
Miguel Le,USA,City,48.22,60.19,3,3.96578345589378
Michele Montgomery,USA,Town,49.61,57.77,4,4.12233484527173
Tiffany Howell,USA,Rural,81.78,100.0,1,1.23304246813935
Joshua Smith,USA,Town,47.16,52.42,2,1.98958106476022
Ronald Reid,USA,Town,59.57,59.28,5,5.0
Anna Holloway,USA,Town,54.65,60.04,4,5.0
Ann Jenkins,South Korea,Rural,62.04,75.89,4,4.10906254778865
Amanda Marshall,South Korea,City,75.84,84.59,4,4.68154153493867
Stacey Miller,NZ,City,60.55,67.57,3,3.74376998916342
Rebecca Moss,South Korea,City,80.5,99.9,2,2.39399588236912
Angela Gallagher,NZ,Rural,64.88,76.42,5,5.0
Brian Odonnell,Denmark,Rural,95.08,100.0,4,5.0
Brian Cooper,USA,Town,66.69,82.62,3,4.00049304711856
Jennifer Rogers,USA,City,40.0,52.54,2,2.5932000360351
Tara Anderson,USA,City,62.93,85.68,4,4.71195720650819
Mark Hayden,NZ,Town,62.49,84.93,4,5.0
David Guzman,NZ,City,70.37,82.1,3,4.03039684310151
Vanessa Gardner,South Korea,City,60.17,73.99,3,3.72502716598455
Robin Dominguez,USA,City,40.0,47.03,4,5.0
Kenneth Malone,South Korea,City,42.41,52.43,5,5.0
Daniel Graham,NZ,Town,40.0,49.59,4,4.74225131324778
Katelyn Thompson,USA,Rural,40.0,41.2,2,2.198198732506
Jill Adams,USA,Rural,62.68,60.92,5,5.0
Mindy Gentry,USA,Town,69.74,89.38,4,5.0
Taylor Simmons,South Korea,City,72.93,78.67,1,1.1371043326579
Wyatt Rodriguez,USA,City,51.07,63.22,1,1.23473837735818
Leroy Cooper,USA,Town,40.0,42.92,1,1.04009144564454
Christopher Ford,USA,Town,44.16,63.17,3,3.3267582507255
William Carr,Denmark,Rural,79.07,100.0,1,1.26268286304831
Amanda Frazier,USA,Town,60.01,71.25,2,2.48366818569678
Joseph Miller,NZ,Town,55.21,61.04,2,2.30146371706392
Marc Carter,NZ,City,43.05,49.36,4,4.56237041275297
Keith Jacobson,USA,City,74.41,95.39,5,5.0
Scott Scott,USA,City,44.21,56.74,1,1.0287212264378
Holly Cook,Denmark,Rural,79.61,94.93,4,4.88061468849672
Kelly Perez,South Korea,Town,51.28,58.82,3,3.60203479240511
Jeremy Cook,USA,Town,70.41,77.93,4,3.93646424355762
Thomas Walker,South Korea,City,71.87,77.53,1,1.28942637241997
Christina Johnson,NZ,City,46.44,50.84,3,3.74267517536944
Martha Gutierrez MD,NZ,City,44.6,58.42,2,2.39624798781618
William Jackson,USA,Town,100.0,100.0,3,3.5374230450488
Terrence Rogers,USA,City,60.49,74.97,3,3.15027050271567
Susan Martin,USA,Town,40.0,34.89,4,4.74747582010835
Brian Johnson,South Korea,City,49.12,54.43,4,4.41296405720109
Gary Cole,USA,City,49.62,57.72,3,3.36583441307513
Mary Ruiz,South Korea,City,58.89,70.91,2,2.14133970510194
Miss Bailey Fowler MD,NZ,City,100.0,100.0,3,3.47440111115175
Aaron Ballard,USA,Town,61.06,71.05,3,3.58140967017451
Linda Mcgee,NZ,Town,59.88,74.42,3,3.56806017525605
Anthony Reyes,South Korea,City,42.48,51.41,3,3.40751410416793
Garrett White,USA,City,80.07,100.0,1,1.35028669345856
Peter Goodwin,South Korea,City,40.0,44.43,3,3.3246237394781
Craig Brown,USA,Town,67.95,82.42,3,4.19369266161892
Catherine Matthews,USA,City,40.0,55.03,3,3.28548341203644
Bradley Wolfe,South Korea,City,55.29,65.97,4,5.0
David Lopez,USA,Town,100.0,100.0,5,5.0
Andrea Durham,South Korea,City,61.09,70.08,1,1.15909248865134
Michelle Page,South Korea,Town,95.97,100.0,2,2.20840737341791
Steven Walter,USA,Rural,50.4,56.12,4,5.0
Amy Giles,Denmark,City,64.24,68.65,1,1.25965195751997
Jimmy Johnson,USA,Rural,100.0,95.09,1,1.11175661505674
