Name,Age,Age Group,Country,Handedness,Home Location Type,Sleep,Sleep Group,Tertiary Qualifications,Car,Registration Date,Weight Time 1,Weight Time 2
Rodney Marsh,45,40 to <50,South Korea,Right,Rural,7.5,7 to <9 hours,Undergraduate,BMW,2032-03-01,90.63,99.774889836076
Carl Evans,54,50 to <60,USA,Right,City,8.0,7 to <9 hours,No Qualifications,Toyota,2031-05-01,100.28,109.242022154159
Megan Cook,52,50 to <60,South Korea,Right,Town,9.0,9+ hours,No Qualifications,Renault,2031-06-01,95.05,102.146064376729
Courtney Moss,77,70 to <80,USA,Right,Town,7.5,7 to <9 hours,No Qualifications,Nissan,2031-11-01,92.76,88.4713355465785
Nichole Turner,82,80+,South Korea,Right,City,9.5,9+ hours,Undergraduate,Tesla,2031-08-01,92.28,100.679674989975
Adam Mills,36,30 to <40,South Korea,Right,Town,8.5,7 to <9 hours,No Qualifications,Toyota,2032-06-01,92.67,98.4030439401045
Jocelyn Brown,15,<20,USA,Right,Town,10.5,9+ hours,No Qualifications,Mitsubishi,2031-04-01,88.17,89.0279453167739
Shannon Martinez,66,60 to <70,Denmark,Ambidextrous,Town,6.5,Under 7 hours,No Qualifications,Citroën,2032-01-01,95.5,92.0642827943787
Sue Martinez,14,<20,USA,Ambidextrous,Town,7.0,7 to <9 hours,No Qualifications,Suzuki,2031-12-01,78.59,79.5921280288704
Holly Chapman,80,80+,NZ,Left,Rural,5.5,Under 7 hours,Postgraduate,Nissan,2032-12-01,96.45,116.126163665315
Matthew Harper,64,60 to <70,Denmark,Right,Town,5.0,Under 7 hours,No Qualifications,Peugeot,2031-04-01,97.35,111.926222644808
Bethany Miranda,42,40 to <50,South Korea,Right,City,6.0,Under 7 hours,No Qualifications,Mini,2031-01-01,94.42,97.4116151372599
Susan Kent,66,60 to <70,NZ,Right,Rural,6.5,Under 7 hours,No Qualifications,Honda,2030-04-01,96.91,105.607250960147
Julie Morrison,58,50 to <60,USA,Right,Rural,6.5,Under 7 hours,No Qualifications,Mini,2030-11-01,96.11,116.573551931473
Charles Berry,25,20 to <30,USA,Right,Town,6.0,Under 7 hours,Undergraduate,Tesla,2030-01-01,89.36,94.9302940407089
Chelsea Watkins,50,50 to <60,USA,Right,Town,6.0,Under 7 hours,No Qualifications,Toyota,2032-11-01,97.74,98.4296718317951
Jason Larsen,33,30 to <40,South Korea,Right,Town,9.5,9+ hours,No Qualifications,Hyundai,2030-02-01,96.45,99.4393098645156
Cody York,27,20 to <30,South Korea,Ambidextrous,City,7.5,7 to <9 hours,Postgraduate,Volkswagen,2031-02-01,98.33,97.2676477247709
David Garcia,44,40 to <50,Denmark,Right,Rural,6.5,Under 7 hours,No Qualifications,Toyota,2031-07-01,95.11,107.053478187412
Michael Johnson,89,80+,NZ,Right,City,5.0,Under 7 hours,No Qualifications,Toyota,2031-08-01,95.23,101.469929345489
Catherine Perry,84,80+,NZ,Left,City,7.5,7 to <9 hours,No Qualifications,Honda,2031-05-01,99.47,99.7603409610066
Adrian Baker,57,50 to <60,NZ,Right,Rural,11.0,9+ hours,No Qualifications,Peugeot,2031-05-01,94.72,98.869281969173
William Tanner,75,70 to <80,South Korea,Right,City,5.5,Under 7 hours,Undergraduate,Hyundai,2032-10-01,96.61,108.256397874254
Brandon Simpson,15,<20,Denmark,Right,City,7.0,7 to <9 hours,No Qualifications,Porsche,2030-01-01,82.76,81.0778528781413
Jessica Myers,41,40 to <50,USA,Ambidextrous,Rural,6.5,Under 7 hours,No Qualifications,Mitsubishi,2030-11-01,89.75,105.478575371354
Joshua Jones,52,50 to <60,USA,Ambidextrous,City,7.0,7 to <9 hours,No Qualifications,Citroën,2031-02-01,94.57,104.573013640075
Katherine Willis,27,20 to <30,USA,Right,City,7.0,7 to <9 hours,Postgraduate,Maserati,2032-07-01,94.37,101.365497733569
Heather Gonzalez,89,80+,South Korea,Right,City,4.5,Under 7 hours,No Qualifications,Renault,2032-01-01,97.55,106.417619990211
Nicole Sandoval,68,60 to <70,Denmark,Ambidextrous,City,4.0,Under 7 hours,No Qualifications,Mitsubishi,2031-11-01,93.3,113.510402859328
William Tucker,75,70 to <80,USA,Right,Rural,7.5,7 to <9 hours,No Qualifications,Peugeot,2030-09-01,98.08,100.076442091855
Gregory Mueller,37,30 to <40,USA,Right,City,8.5,7 to <9 hours,No Qualifications,Tesla,2032-10-01,97.92,107.88542994486
Chelsey Coleman,55,50 to <60,South Korea,Right,Rural,8.0,7 to <9 hours,Postgraduate,Mitsubishi,2030-01-01,95.19,93.1287515623182
Kelly Kaiser,11,<20,USA,Right,Town,8.0,7 to <9 hours,No Qualifications,Mitsubishi,2032-02-01,75.18,80.7508448032758
Jorge Palmer,43,40 to <50,USA,Right,Town,7.0,7 to <9 hours,Undergraduate,Renault,2032-03-01,96.68,102.813439098209
Christopher Mitchell,62,60 to <70,Denmark,Right,City,8.5,7 to <9 hours,Undergraduate,Toyota,2030-01-01,93.37,109.662507425827
Cassandra Morris PhD,10,<20,USA,Right,Rural,9.5,9+ hours,No Qualifications,Mazda,2030-09-01,76.26,74.3677282270683
Tony Johnson,94,80+,USA,Right,Town,8.0,7 to <9 hours,No Qualifications,Tesla,2032-04-01,93.96,96.0759776463063
Laura Oliver,71,70 to <80,NZ,Right,City,7.0,7 to <9 hours,No Qualifications,Mazda,2031-09-01,96.19,105.151622590982
Derrick Torres,46,40 to <50,South Korea,Left,City,6.5,Under 7 hours,No Qualifications,Hyundai,2031-09-01,92.91,97.517503332341
David Mclaughlin,34,30 to <40,Denmark,Right,Rural,7.5,7 to <9 hours,No Qualifications,Tesla,2030-02-01,94.84,103.700324762385
Thomas Russell,48,40 to <50,USA,Left,City,7.0,7 to <9 hours,No Qualifications,Tesla,2031-06-01,98.04,105.541086187713
Jason Lucas,42,40 to <50,USA,Right,Rural,7.5,7 to <9 hours,No Qualifications,Mitsubishi,2032-12-01,96.15,108.157163263993
Marissa Lee,97,80+,South Korea,Right,City,8.5,7 to <9 hours,No Qualifications,Peugeot,2031-01-01,94.79,83.8742863238997
Eric Malone,86,80+,USA,Right,Rural,4.5,Under 7 hours,No Qualifications,Fiat,2030-02-01,94.17,107.859424870925
Nancy Grant,8,<20,South Korea,Right,City,8.5,7 to <9 hours,No Qualifications,Porsche,2030-04-01,73.29,87.1214430334388
Kevin Pittman,88,80+,USA,Right,Rural,5.5,Under 7 hours,No Qualifications,Tesla,2030-02-01,94.35,102.074350671167
Tracy Duarte,51,50 to <60,USA,Right,Town,4.5,Under 7 hours,Undergraduate,Mitsubishi,2031-02-01,96.26,100.070072185295
Brian Sims,14,<20,Denmark,Right,Town,7.5,7 to <9 hours,No Qualifications,Toyota,2032-07-01,77.01,83.4052090067484
Eric Hicks,95,80+,South Korea,Right,Town,8.0,7 to <9 hours,No Qualifications,Toyota,2031-08-01,91.85,93.241691626122
Betty Buckley,57,50 to <60,USA,Right,Town,6.5,Under 7 hours,No Qualifications,Toyota,2030-02-01,92.28,94.4975968732365
Elizabeth Wright,54,50 to <60,Denmark,Right,Rural,8.0,7 to <9 hours,Postgraduate,Peugeot,2031-04-01,95.32,105.371368939046
Beth Acosta,61,60 to <70,USA,Right,Town,7.5,7 to <9 hours,No Qualifications,Tesla,2032-06-01,98.48,103.151001173106
Felicia Clark,87,80+,USA,Right,City,8.0,7 to <9 hours,No Qualifications,Suzuki,2032-04-01,90.8,103.998276994024
Matthew Martin,71,70 to <80,South Korea,Right,Town,4.5,Under 7 hours,Postgraduate,Toyota,2031-05-01,95.24,104.346107977694
Rebecca Ramirez,33,30 to <40,South Korea,Right,Town,7.5,7 to <9 hours,No Qualifications,Toyota,2030-10-01,92.64,92.504318596545
Frank Gonzalez,45,40 to <50,Denmark,Right,Town,9.5,9+ hours,No Qualifications,Tesla,2031-10-01,89.84,104.26984860992
Kenneth Galvan,69,60 to <70,South Korea,Right,City,6.0,Under 7 hours,No Qualifications,Honda,2031-11-01,96.46,89.4690034899137
Catherine Wright,41,40 to <50,Denmark,Right,City,6.0,Under 7 hours,No Qualifications,Citroën,2032-01-01,91.15,101.794487743744
James Delacruz,75,70 to <80,NZ,Right,Rural,4.5,Under 7 hours,No Qualifications,Tesla,2031-10-01,97.16,102.256422656927
John Clayton,52,50 to <60,USA,Right,Town,8.5,7 to <9 hours,No Qualifications,Toyota,2030-11-01,92.56,108.945030014996
Nancy Duncan,86,80+,NZ,Right,City,6.5,Under 7 hours,No Qualifications,Suzuki,2031-12-01,99.99,101.716056228608
Robert Rojas,56,50 to <60,USA,Right,City,7.0,7 to <9 hours,No Qualifications,Hyundai,2031-11-01,95.14,87.4614426748599
Jessica Duncan,36,30 to <40,USA,Right,City,8.5,7 to <9 hours,No Qualifications,Toyota,2032-10-01,97.68,110.859517108404
Julie Perez,39,30 to <40,NZ,Right,Rural,5.5,Under 7 hours,No Qualifications,Tesla,2031-06-01,90.55,93.4027244469195
Travis Hooper,54,50 to <60,USA,Right,City,7.5,7 to <9 hours,No Qualifications,BMW,2031-03-01,96.09,92.0185305088033
Jessica Williams,27,20 to <30,USA,Right,City,8.5,7 to <9 hours,No Qualifications,Mercedes,2032-02-01,92.44,105.631320812217
Aaron Bennett,37,30 to <40,USA,Right,City,7.0,7 to <9 hours,No Qualifications,Hyundai,2032-12-01,91.15,93.547909991039
Dorothy Martin,50,50 to <60,Denmark,Right,Town,9.0,9+ hours,No Qualifications,Mitsubishi,2030-01-01,94.57,87.5539791757835
Chris Adams,83,80+,USA,Right,City,6.0,Under 7 hours,No Qualifications,Tesla,2031-12-01,96.8,106.064427423753
Kyle Hernandez,47,40 to <50,USA,Right,Town,11.5,9+ hours,No Qualifications,Mitsubishi,2032-10-01,94.47,100.357457208471
Timothy Love,55,50 to <60,USA,Right,Rural,6.5,Under 7 hours,Undergraduate,Mazda,2032-10-01,92.44,96.7672476561399
Kathleen Hill,38,30 to <40,USA,Right,City,6.5,Under 7 hours,No Qualifications,Renault,2031-08-01,94.16,98.8240081347041
Brenda Kramer,64,60 to <70,NZ,Right,Rural,9.5,9+ hours,Undergraduate,Toyota,2030-11-01,98.87,103.212983063936
Anthony Carlson,27,20 to <30,NZ,Ambidextrous,Rural,7.0,7 to <9 hours,No Qualifications,Porsche,2031-05-01,92.87,109.461516843103
Rachel Mclean,55,50 to <60,Denmark,Right,Rural,6.5,Under 7 hours,No Qualifications,Mercedes,2031-12-01,95.96,104.799568649676
Tammy Clarke,84,80+,South Korea,Right,City,7.0,7 to <9 hours,No Qualifications,Volkswagen,2032-11-01,92.67,92.8230086070986
Elizabeth Brown,94,80+,USA,Right,City,9.0,9+ hours,No Qualifications,Fiat,2032-10-01,93.93,100.060568369816
Jeanne Reed,56,50 to <60,Denmark,Right,Town,4.5,Under 7 hours,No Qualifications,Volkswagen,2031-12-01,95.93,101.623198743593
Kristi Kemp,25,20 to <30,USA,Right,Town,9.0,9+ hours,No Qualifications,Mitsubishi,2031-06-01,89.0,98.0752674798793
David Davis,69,60 to <70,South Korea,Right,City,8.5,7 to <9 hours,No Qualifications,Mazda,2031-08-01,95.02,109.120839954995
Michael Schroeder,37,30 to <40,Denmark,Right,City,8.0,7 to <9 hours,No Qualifications,Tesla,2032-09-01,92.62,105.924058147586
Heather Burns,57,50 to <60,NZ,Right,Rural,9.0,9+ hours,No Qualifications,Volkswagen,2032-08-01,98.07,96.8285676502738
Mrs. Danielle Murray,8,<20,USA,Ambidextrous,City,10.5,9+ hours,No Qualifications,Volkswagen,2030-10-01,75.07,92.4681788231629
Tracy Clark,62,60 to <70,South Korea,Right,City,8.0,7 to <9 hours,Undergraduate,Peugeot,2031-09-01,92.7,103.322110528749
Kathryn Fisher,29,20 to <30,USA,Left,Rural,6.5,Under 7 hours,No Qualifications,Citroën,2030-04-01,98.43,112.582460557605
Tracy Crosby,23,20 to <30,NZ,Right,Rural,6.0,Under 7 hours,No Qualifications,Mini,2030-11-01,90.5,99.661089327881
David Harris,35,30 to <40,Denmark,Right,City,8.0,7 to <9 hours,No Qualifications,Kia,2031-06-01,91.65,96.2157554585283
Angela Barry,35,30 to <40,USA,Right,Rural,5.5,Under 7 hours,No Qualifications,Tesla,2030-11-01,95.86,84.2846906162577
James Myers,76,70 to <80,Denmark,Ambidextrous,City,8.5,7 to <9 hours,No Qualifications,Tesla,2031-07-01,94.18,100.167862060119
Eric Holden,50,50 to <60,South Korea,Right,Town,10.5,9+ hours,No Qualifications,Toyota,2032-10-01,92.29,105.51418951179
Jeff Brown,41,40 to <50,NZ,Right,City,7.0,7 to <9 hours,No Qualifications,Mercedes,2030-03-01,93.01,96.9020290811485
Craig Williams,18,<20,USA,Right,City,9.0,9+ hours,No Qualifications,Hyundai,2030-10-01,93.53,98.5172456208992
Taylor Sims,64,60 to <70,Denmark,Right,Rural,7.5,7 to <9 hours,Postgraduate,Nissan,2032-06-01,91.46,92.1090094415729
Katherine Hampton,25,20 to <30,USA,Right,Town,7.0,7 to <9 hours,No Qualifications,Kia,2031-08-01,92.53,99.5050805632978
Kristi Edwards,50,50 to <60,Denmark,Right,Rural,5.5,Under 7 hours,Postgraduate,Mitsubishi,2032-11-01,96.2,106.874678687106
Connie Huang,19,<20,USA,Right,City,6.0,Under 7 hours,No Qualifications,Jaguar,2030-09-01,95.95,92.2941319773427
Julie Black,86,80+,South Korea,Ambidextrous,City,5.5,Under 7 hours,No Qualifications,Honda,2030-09-01,92.65,102.596232347767
Brianna Yates,21,20 to <30,South Korea,Ambidextrous,City,9.0,9+ hours,No Qualifications,Hyundai,2031-07-01,89.93,100.973027466245
Kenneth Rosario,54,50 to <60,Denmark,Right,Rural,5.0,Under 7 hours,No Qualifications,Mitsubishi,2030-11-01,94.9,110.974001171298
Rodney Orozco,48,40 to <50,NZ,Right,Town,6.5,Under 7 hours,No Qualifications,Mitsubishi,2032-01-01,97.96,102.680933790632
Linda Roach,8,<20,NZ,Right,Town,8.0,7 to <9 hours,No Qualifications,Mitsubishi,2031-07-01,70.37,72.7713492818181
Laura Alexander,75,70 to <80,South Korea,Right,City,6.5,Under 7 hours,No Qualifications,Mitsubishi,2032-01-01,99.09,97.7242949658036
Tammy Rocha,48,40 to <50,USA,Right,Town,8.0,7 to <9 hours,No Qualifications,Nissan,2030-10-01,93.58,93.3556823611524
Julie Thomas MD,55,50 to <60,USA,Right,Town,9.0,9+ hours,Undergraduate,Fiat,2032-08-01,99.09,114.970435489128
Olivia Obrien,78,70 to <80,USA,Right,Rural,6.0,Under 7 hours,Undergraduate,Honda,2030-11-01,94.27,102.082581109374
Stephanie Gutierrez,10,<20,NZ,Right,City,11.5,9+ hours,No Qualifications,Volkswagen,2032-01-01,78.32,78.1524757957767
Mr. Thomas Carr,18,<20,USA,Right,Town,8.0,7 to <9 hours,No Qualifications,Suzuki,2031-07-01,89.89,91.2178377654024
Ashley Morales,99,80+,Denmark,Left,Town,5.5,Under 7 hours,No Qualifications,Mazda,2031-11-01,95.18,105.803672344377
Derek Smith,51,50 to <60,USA,Right,City,7.0,7 to <9 hours,No Qualifications,Nissan,2031-08-01,95.12,95.3784925724975
Michael White,90,80+,South Korea,Right,City,7.0,7 to <9 hours,No Qualifications,Toyota,2031-01-01,96.9,94.459477936095
Ronald Ramirez,61,60 to <70,USA,Ambidextrous,City,7.5,7 to <9 hours,No Qualifications,Hyundai,2030-02-01,94.89,94.6122020280557
Matthew Jacobson,71,70 to <80,USA,Right,City,7.5,7 to <9 hours,No Qualifications,Kia,2031-12-01,96.34,95.7101606429803
Timothy Moody,17,<20,USA,Ambidextrous,Rural,7.0,7 to <9 hours,No Qualifications,Volkswagen,2031-08-01,89.56,106.52575647952
Jacqueline Rogers,28,20 to <30,NZ,Right,City,7.5,7 to <9 hours,Undergraduate,Aston Martin,2032-12-01,93.01,94.1801347360873
Jennifer Roberts,34,30 to <40,USA,Right,City,9.5,9+ hours,Undergraduate,Honda,2031-03-01,91.88,89.8275618600334
Mariah Brewer,8,<20,South Korea,Right,City,8.5,7 to <9 hours,No Qualifications,Honda,2032-12-01,70.85,76.5878947471414
Christopher Goodwin,86,80+,South Korea,Right,City,7.0,7 to <9 hours,Postgraduate,Honda,2030-09-01,97.1,95.6214370431382
Franklin Ramirez,24,20 to <30,Denmark,Right,City,7.0,7 to <9 hours,No Qualifications,Nissan,2031-04-01,94.34,97.1790749545138
Jacqueline Russell,12,<20,NZ,Ambidextrous,Rural,7.5,7 to <9 hours,No Qualifications,Toyota,2031-07-01,73.62,76.4303329737475
Melissa Garza,74,70 to <80,Denmark,Right,Rural,4.0,Under 7 hours,Undergraduate,Mitsubishi,2031-07-01,94.07,97.9846788227215
Ryan Bell,70,70 to <80,South Korea,Left,City,7.5,7 to <9 hours,No Qualifications,Renault,2032-07-01,92.16,99.1425876079119
Miss Tammy Montes DDS,32,30 to <40,USA,Right,Town,8.5,7 to <9 hours,No Qualifications,Hyundai,2030-04-01,93.88,97.0464746548391
Michael Morgan,60,60 to <70,USA,Right,Town,7.5,7 to <9 hours,No Qualifications,Tesla,2032-03-01,95.41,95.1194083209367
Madison Wall,30,30 to <40,USA,Right,Town,7.5,7 to <9 hours,No Qualifications,Mini,2031-11-01,90.24,93.9390424083224
Judy Adams,51,50 to <60,NZ,Right,Rural,4.5,Under 7 hours,No Qualifications,Mazda,2032-08-01,95.64,101.523634090684
Stephanie Jackson DDS,52,50 to <60,NZ,Right,City,10.0,9+ hours,No Qualifications,Peugeot,2031-03-01,98.59,97.6909683299295
Amy Kelly,80,80+,NZ,Ambidextrous,Town,8.5,7 to <9 hours,Undergraduate,Renault,2031-03-01,94.64,97.3169645952638
Christina Burns,78,70 to <80,South Korea,Right,City,6.5,Under 7 hours,No Qualifications,Kia,2031-07-01,98.99,93.8488048926786
Amy Orozco,29,20 to <30,Denmark,Right,City,13.0,9+ hours,No Qualifications,Nissan,2030-09-01,86.39,92.2913866413785
Brian Petersen,30,30 to <40,USA,Right,City,6.5,Under 7 hours,No Qualifications,Toyota,2032-06-01,92.19,99.5176467564385
Kevin Sanchez,40,40 to <50,South Korea,Right,Town,9.5,9+ hours,Undergraduate,Renault,2030-03-01,94.79,101.814455445943
Michael Owens,47,40 to <50,USA,Right,Town,8.0,7 to <9 hours,No Qualifications,Volkswagen,2030-09-01,94.75,93.3338248184986
Michael Mcconnell,27,20 to <30,USA,Right,City,7.0,7 to <9 hours,Undergraduate,Volkswagen,2032-05-01,92.48,94.5915512359707
Tonya Carpenter,70,70 to <80,South Korea,Ambidextrous,City,8.5,7 to <9 hours,Postgraduate,Mitsubishi,2031-04-01,98.23,114.408874695733
Debra Banks,47,40 to <50,NZ,Right,Town,7.5,7 to <9 hours,Undergraduate,Honda,2032-01-01,98.54,90.2092024765188
Jeffrey Smith,50,50 to <60,NZ,Right,Rural,4.5,Under 7 hours,No Qualifications,Nissan,2030-09-01,94.05,91.3221847575306
Katherine Reid,50,50 to <60,USA,Right,City,5.5,Under 7 hours,No Qualifications,Mini,2031-09-01,94.5,113.106349500631
Randy Valencia,87,80+,Denmark,Right,City,4.5,Under 7 hours,Undergraduate,Mitsubishi,2030-01-01,90.62,95.8959346536304
James Murray,8,<20,Denmark,Right,Town,9.0,9+ hours,No Qualifications,Hyundai,2032-11-01,72.13,65.9675525357972
Jason Delgado,62,60 to <70,NZ,Ambidextrous,Town,6.5,Under 7 hours,No Qualifications,Toyota,2032-11-01,94.86,105.38419743441
Tonya Patterson,49,40 to <50,USA,Right,City,11.5,9+ hours,No Qualifications,Volkswagen,2031-04-01,95.25,103.460052993684
Hunter Young,20,20 to <30,NZ,Right,City,8.0,7 to <9 hours,No Qualifications,Nissan,2031-12-01,89.83,84.9169260870453
Joshua Williams,48,40 to <50,USA,Right,City,9.5,9+ hours,No Qualifications,Renault,2032-06-01,96.09,98.8861269865295
Kelly Edwards,22,20 to <30,USA,Right,City,6.0,Under 7 hours,Undergraduate,Kia,2031-02-01,95.72,98.2761451981845
Kerri Ewing,49,40 to <50,South Korea,Left,City,9.0,9+ hours,Undergraduate,Tesla,2030-02-01,92.03,101.208907302152
Randy Galloway,27,20 to <30,South Korea,Left,City,8.5,7 to <9 hours,No Qualifications,Renault,2032-06-01,97.71,108.813610694002
Debra Mendoza,35,30 to <40,South Korea,Right,City,9.5,9+ hours,No Qualifications,Volkswagen,2032-03-01,96.39,111.035365133122
Anthony Jones,14,<20,USA,Right,City,8.5,7 to <9 hours,No Qualifications,Fiat,2031-04-01,81.7,85.333753718637
Rhonda Crawford,52,50 to <60,USA,Right,City,7.0,7 to <9 hours,No Qualifications,Renault,2031-05-01,96.88,104.562847256448
Ann Holmes,73,70 to <80,NZ,Left,City,10.0,9+ hours,No Qualifications,Mazda,2032-09-01,97.79,102.997871842216
Scott Perez,9,<20,Denmark,Right,Rural,6.5,Under 7 hours,No Qualifications,Toyota,2032-09-01,71.74,81.8897556953666
Richard Lopez,22,20 to <30,USA,Right,City,8.0,7 to <9 hours,No Qualifications,Porsche,2030-09-01,91.05,96.9651390042617
Louis Frye,74,70 to <80,USA,Right,Rural,7.0,7 to <9 hours,No Qualifications,Tesla,2031-10-01,96.61,106.075779375475
Paul Brennan,10,<20,NZ,Ambidextrous,Town,8.0,7 to <9 hours,No Qualifications,Nissan,2031-01-01,77.85,89.1332797558765
Gabrielle Mccormick,96,80+,USA,Right,City,5.0,Under 7 hours,No Qualifications,Toyota,2031-08-01,94.25,90.0627823192691
Ryan Thomas,32,30 to <40,Denmark,Right,City,8.5,7 to <9 hours,No Qualifications,Renault,2032-02-01,91.34,95.1261605141115
Laura Austin,62,60 to <70,USA,Right,City,6.5,Under 7 hours,Undergraduate,Mini,2030-10-01,91.66,107.074375658111
Daniel Lee,90,80+,South Korea,Right,City,5.0,Under 7 hours,Postgraduate,Renault,2032-01-01,94.16,100.12346654452
Phillip Guerra,8,<20,USA,Right,Rural,8.5,7 to <9 hours,No Qualifications,Nissan,2030-03-01,72.89,77.7776209827479
Diana Smith,34,30 to <40,South Korea,Right,City,7.5,7 to <9 hours,No Qualifications,Renault,2032-06-01,92.76,90.1298810490132
Casey Walker,85,80+,USA,Right,City,5.0,Under 7 hours,No Qualifications,Mazda,2032-08-01,98.99,100.408322543805
Christopher Patel,55,50 to <60,USA,Right,City,9.0,9+ hours,Undergraduate,Mitsubishi,2032-02-01,96.86,103.695572026705
Sheila Adams,39,30 to <40,USA,Ambidextrous,City,10.0,9+ hours,No Qualifications,Kia,2031-07-01,93.81,102.344238249099
Angela Porter,8,<20,South Korea,Right,Town,8.0,7 to <9 hours,No Qualifications,Nissan,2031-12-01,69.21,76.8974624916589
Joseph Thomas,54,50 to <60,South Korea,Right,Town,7.5,7 to <9 hours,No Qualifications,Fiat,2032-01-01,97.92,100.046936881361
Evan Mcintosh,38,30 to <40,Denmark,Right,City,4.5,Under 7 hours,No Qualifications,Tesla,2032-04-01,93.11,101.07256408956
Jerry Martin,57,50 to <60,NZ,Right,Rural,6.0,Under 7 hours,No Qualifications,Nissan,2032-06-01,97.94,102.328114654152
Russell Estrada,23,20 to <30,Denmark,Right,City,9.5,9+ hours,Undergraduate,Tesla,2031-02-01,97.25,96.8888488879705
Robert Mosley,35,30 to <40,USA,Right,City,7.0,7 to <9 hours,Undergraduate,Mitsubishi,2031-06-01,96.97,109.361916650332
Lucas Martinez,23,20 to <30,USA,Right,Town,9.0,9+ hours,No Qualifications,Tesla,2030-01-01,92.78,103.083858097493
Nicholas Warner,13,<20,South Korea,Right,Rural,7.0,7 to <9 hours,No Qualifications,Renault,2032-10-01,76.26,75.5906388578543
Raymond Cook,69,60 to <70,NZ,Right,Town,7.5,7 to <9 hours,No Qualifications,Citroën,2032-06-01,100.2,87.4900182451015
Sylvia Stephenson,13,<20,South Korea,Right,City,5.5,Under 7 hours,No Qualifications,Volkswagen,2031-06-01,80.45,81.3184993677068
Adam Haney,15,<20,USA,Right,Town,7.5,7 to <9 hours,No Qualifications,Suzuki,2031-04-01,85.22,94.6996934383437
Alexandra Dalton,44,40 to <50,Denmark,Right,Town,10.5,9+ hours,Undergraduate,Renault,2030-01-01,94.3,94.9112904589788
David Patterson,53,50 to <60,USA,Right,Town,9.0,9+ hours,No Qualifications,Mazda,2031-08-01,99.65,109.561055739232
Claudia Robinson,50,50 to <60,USA,Right,City,8.5,7 to <9 hours,No Qualifications,Kia,2031-04-01,94.62,102.390726614728
Marcus Spears,46,40 to <50,USA,Right,Town,9.0,9+ hours,No Qualifications,Porsche,2031-09-01,93.11,96.1609668144978
Troy Boyer,51,50 to <60,USA,Right,City,6.5,Under 7 hours,No Qualifications,Porsche,2031-11-01,94.62,107.469743459292
Scott Hughes,59,50 to <60,USA,Right,Rural,7.0,7 to <9 hours,No Qualifications,Mazda,2030-11-01,91.26,94.6589023599738
Wesley Ray,40,40 to <50,USA,Left,City,8.0,7 to <9 hours,No Qualifications,Suzuki,2030-09-01,96.28,104.834339423842
Marcia Gardner,16,<20,Denmark,Right,City,8.0,7 to <9 hours,No Qualifications,Volkswagen,2031-08-01,93.71,99.5667703864374
Lisa Moreno,43,40 to <50,USA,Right,Town,3.5,Under 7 hours,No Qualifications,Toyota,2032-08-01,95.95,104.440564421276
Dr. Mary Ortiz,94,80+,NZ,Right,City,9.5,9+ hours,No Qualifications,Kia,2032-03-01,94.6,107.852463877993
Dr. Patricia Martin MD,44,40 to <50,Denmark,Right,City,9.0,9+ hours,No Qualifications,Mazda,2032-10-01,90.27,94.2630929302263
Meghan Robinson,18,<20,NZ,Right,City,8.0,7 to <9 hours,No Qualifications,Mini,2030-01-01,94.97,100.964716298178
Devin Burns,47,40 to <50,USA,Left,City,11.0,9+ hours,No Qualifications,Tesla,2032-01-01,95.93,99.9558445428784
Joseph Johnson,31,30 to <40,USA,Right,City,8.5,7 to <9 hours,No Qualifications,Fiat,2030-02-01,92.7,91.2244286358946
Brian Christensen,80,80+,USA,Right,Town,6.0,Under 7 hours,No Qualifications,Mitsubishi,2030-11-01,95.06,93.9114112241125
Jason Johnson,36,30 to <40,NZ,Right,Rural,4.0,Under 7 hours,No Qualifications,Volkswagen,2031-03-01,94.53,96.9108708667554
Bobby Raymond,90,80+,Denmark,Right,Town,5.5,Under 7 hours,No Qualifications,Hyundai,2032-05-01,94.99,92.3064656120236
Diana Pearson,40,40 to <50,South Korea,Left,City,7.5,7 to <9 hours,Undergraduate,Tesla,2031-03-01,90.01,80.1817768948499
Tommy Martin,12,<20,USA,Right,City,7.5,7 to <9 hours,No Qualifications,Kia,2032-06-01,74.87,77.6232125226408
Amy Mcintosh,41,40 to <50,South Korea,Right,City,7.0,7 to <9 hours,Undergraduate,Citroën,2031-06-01,93.63,116.12108888201
Matthew Johnson,11,<20,USA,Left,City,10.0,9+ hours,No Qualifications,Kia,2032-11-01,78.2,81.6366025897443
Matthew Rodriguez,98,80+,USA,Left,City,6.0,Under 7 hours,Undergraduate,Hyundai,2030-02-01,96.14,91.2870444684049
Matthew Washington,47,40 to <50,South Korea,Left,City,5.5,Under 7 hours,No Qualifications,Tesla,2032-06-01,98.75,102.889756370309
Emily Matthews,12,<20,NZ,Right,City,8.5,7 to <9 hours,No Qualifications,Nissan,2032-02-01,78.1,82.2520381538268
Joann Ingram,95,80+,NZ,Right,City,7.0,7 to <9 hours,No Qualifications,Tesla,2030-02-01,97.9,101.352612388956
Julie Jimenez,45,40 to <50,South Korea,Left,City,8.5,7 to <9 hours,Undergraduate,Porsche,2030-10-01,92.2,102.12570056071
Mr. Matthew Brooks,52,50 to <60,South Korea,Right,City,8.0,7 to <9 hours,Undergraduate,Fiat,2031-06-01,97.16,99.5892210553347
Amber Martinez,20,20 to <30,USA,Right,Town,7.0,7 to <9 hours,No Qualifications,Mini,2030-02-01,93.39,91.4602949331643
